category,name,description,image,vegetaric,vegan,bio,menu,price,date
Bier,ERDINGER Alkoholfrei,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22631&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.2,2021-10-01
Heißgetränke,Kaffee S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13543&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.0,2021-10-01
Heißgetränke,Kaffee M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=15297&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-10-01
Heißgetränke,Kaffee L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14824&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Heißgetränke,Kaffee löslich S,entkoffeiniert,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=16323&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.0,2021-10-01
Heißgetränke,Café Crème S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22619&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.2,2021-10-01
Heißgetränke,Café Crème M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22620&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Heißgetränke,Café Crème L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22621&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-10-01
Heißgetränke,Cappuccino S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13553&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.2,2021-10-01
Heißgetränke,Cappuccino M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=15296&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Heißgetränke,Cappuccino L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14822&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-10-01
Heißgetränke,Café au Lait S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22622&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.4,2021-10-01
Heißgetränke,Café au Lait M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22623&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-10-01
Heißgetränke,Café au Lait L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22624&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.9,2021-10-01
Heißgetränke,Latte Macchiato S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13552&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.4,2021-10-01
Heißgetränke,Latte Macchiato M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=15298&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-10-01
Heißgetränke,Latte Macchiato L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14823&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.9,2021-10-01
Heißgetränke,Espresso S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13550&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-10-01
