category,name,description,image,vegetaric,vegan,bio,menu,price,date
Heißgetränke,EILLES TEE L Herbal Refresh Kräutertee,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14835&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,4.3,2025-02-13
Heißgetränke,EILLES TEE S Spearminze,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14600&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.9,2025-02-13
Heißgetränke,EILLES TEE L Spearminze,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22625&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.3,2025-02-13
Bier,"Bitburger Premium Pils 0,5 l Flasche",,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23974&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.2,2025-02-13
Bier,"Bitburger Premium Pils 0,33 l Flasche",,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13566&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.2,2025-02-13
Bier,Bitburger Radler naturtrüb,"0,33 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22629&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,4.2,2025-02-13
Bier,ERDINGER Weißbier,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13564&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.2,2025-02-13
Bier,ERDINGER Alkoholfrei,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=22631&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.2,2025-02-13
Bier,Starnberger Hell,"0,5 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23943&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.2,2025-02-13
Bier,Jever Fun Alkoholfrei,"0,33 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23919&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,4.2,2025-02-13
Spirituosen,Siegfried Rheinland Dry Gin,"Alc. 41 Vol.-%, 4 cl Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23546&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,6.9,2025-02-13
Spirituosen,Siegfried Gin + Fever-Tree Tonic,"0,24  l",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23547&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,11.0,2025-02-13
Spirituosen,Siegfried Gin + ViO BiO Zitrone,"0,34 l",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=23944&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,10.9,2025-02-13
Wein & Sekt,Grauburgunder Stefan Winter,"QbA, trocken, Rheinhessen, 0,25 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13559&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,8.9,2025-02-13
Wein & Sekt,Riesling David Spies,"QbA, trocken, Rheinhessen, 0,25 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14837&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,8.9,2025-02-13
Wein & Sekt,Cabernet Sauvignon Rotwein Heinrich Gies,"QbA, trocken, Pfalz, 0,25 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13558&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2025-02-13
Wein & Sekt,Rotkäppchen Sekt Tradition,"trocken, Cuvée, 0,2 l Flasche",https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13554&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,6.9,2025-02-13
